,r1,r2,p1,p2,gesture
407,-17.0,-87.0,-89.0,-48.0,0.0
408,-17.0,-87.0,-89.0,-48.0,0.0
409,-17.0,-87.0,-89.0,-48.0,0.0
410,-17.0,-87.0,-89.0,-48.0,0.0
411,-17.0,-87.0,-89.0,-48.0,0.0
412,-17.0,-87.0,-89.0,-48.0,0.0
413,-17.0,-87.0,-88.0,-48.0,0.0
414,-17.0,-87.0,-88.0,-48.0,0.0
415,-17.0,-87.0,-88.0,-48.0,0.0
416,-17.0,-87.0,-88.0,-48.0,0.0
417,-17.0,-87.0,-88.0,-48.0,0.0
418,-17.0,-87.0,-88.0,-48.0,0.0
419,-16.0,-87.0,-88.0,-48.0,0.0
420,-16.0,-87.0,-88.0,-48.0,0.0
421,-16.0,-87.0,-88.0,-48.0,0.0
422,-17.0,-87.0,-88.0,-48.0,0.0
423,-17.0,-87.0,-88.0,-48.0,0.0
424,-17.0,-87.0,-88.0,-48.0,0.0
425,-17.0,-87.0,-88.0,-48.0,0.0
426,-17.0,-87.0,-88.0,-48.0,0.0
427,-16.0,-87.0,-88.0,-48.0,0.0
428,-16.0,-87.0,-88.0,-48.0,0.0
429,-17.0,-87.0,-88.0,-48.0,0.0
430,-17.0,-87.0,-88.0,-48.0,0.0
431,-17.0,-87.0,-88.0,-48.0,0.0
432,-17.0,-87.0,-88.0,-48.0,0.0
433,-17.0,-87.0,-88.0,-48.0,0.0
434,-16.0,-87.0,-88.0,-48.0,0.0
435,-16.0,-87.0,-88.0,-48.0,0.0
436,-16.0,-87.0,-88.0,-48.0,0.0
437,-17.0,-87.0,-88.0,-48.0,0.0
438,-16.0,-87.0,-88.0,-48.0,0.0
439,-16.0,-87.0,-88.0,-48.0,0.0
440,-16.0,-87.0,-88.0,-48.0,0.0
441,-16.0,-87.0,-88.0,-48.0,0.0
442,-16.0,-86.0,-88.0,-48.0,0.0
443,-16.0,-86.0,-88.0,-48.0,0.0
444,-16.0,-86.0,-88.0,-48.0,0.0
445,-16.0,-86.0,-88.0,-48.0,0.0
446,-17.0,-86.0,-88.0,-47.0,0.0
447,-17.0,-86.0,-88.0,-47.0,0.0
448,-17.0,-86.0,-88.0,-47.0,0.0
449,-17.0,-86.0,-88.0,-47.0,0.0
450,-17.0,-86.0,-88.0,-47.0,0.0
451,-16.0,-86.0,-88.0,-47.0,0.0
452,-16.0,-86.0,-88.0,-47.0,0.0
453,-16.0,-86.0,-88.0,-48.0,0.0
454,-16.0,-86.0,-88.0,-48.0,0.0
455,-16.0,-86.0,-88.0,-48.0,0.0
456,-16.0,-86.0,-88.0,-48.0,0.0
457,-16.0,-86.0,-88.0,-48.0,0.0
458,-16.0,-86.0,-87.0,-48.0,0.0
459,-16.0,-86.0,-87.0,-47.0,0.0
460,-16.0,-86.0,-87.0,-47.0,0.0
461,-16.0,-86.0,-87.0,-47.0,0.0
462,-16.0,-86.0,-87.0,-47.0,0.0
463,-16.0,-86.0,-87.0,-47.0,0.0
464,-16.0,-86.0,-87.0,-47.0,0.0
465,-16.0,-86.0,-87.0,-48.0,0.0
466,-16.0,-86.0,-87.0,-48.0,0.0
467,-16.0,-86.0,-87.0,-48.0,0.0
468,-16.0,-86.0,-87.0,-48.0,0.0
469,-15.0,-86.0,-87.0,-48.0,0.0
470,-15.0,-86.0,-87.0,-48.0,0.0
471,-16.0,-86.0,-87.0,-48.0,0.0
472,-15.0,-86.0,-87.0,-48.0,0.0
473,-15.0,-86.0,-87.0,-47.0,0.0
474,-15.0,-86.0,-87.0,-47.0,0.0
475,-15.0,-86.0,-87.0,-47.0,0.0
476,-15.0,-86.0,-87.0,-47.0,0.0
477,-15.0,-86.0,-87.0,-47.0,0.0
478,-15.0,-86.0,-87.0,-47.0,0.0
479,-15.0,-85.0,-87.0,-47.0,0.0
480,-15.0,-85.0,-86.0,-47.0,0.0
481,-15.0,-85.0,-86.0,-47.0,0.0
482,-15.0,-85.0,-86.0,-47.0,0.0
483,-15.0,-85.0,-86.0,-47.0,0.0
484,-15.0,-85.0,-86.0,-47.0,0.0
485,-15.0,-85.0,-86.0,-47.0,0.0
486,-15.0,-86.0,-86.0,-47.0,0.0
487,-15.0,-86.0,-86.0,-47.0,0.0
488,-15.0,-86.0,-86.0,-47.0,0.0
489,-15.0,-86.0,-86.0,-47.0,0.0
490,-15.0,-86.0,-86.0,-47.0,0.0
491,-15.0,-86.0,-86.0,-47.0,0.0
492,-15.0,-86.0,-86.0,-47.0,0.0
493,-15.0,-86.0,-86.0,-47.0,0.0
494,-15.0,-86.0,-86.0,-47.0,0.0
495,-15.0,-86.0,-87.0,-47.0,0.0
496,-15.0,-86.0,-87.0,-47.0,0.0
497,-15.0,-86.0,-87.0,-47.0,0.0
498,-15.0,-86.0,-87.0,-47.0,0.0
499,-15.0,-86.0,-87.0,-47.0,0.0
500,-15.0,-86.0,-87.0,-47.0,0.0
501,-15.0,-86.0,-87.0,-47.0,0.0
502,-15.0,-86.0,-87.0,-47.0,0.0
503,-15.0,-86.0,-87.0,-47.0,0.0
504,-15.0,-86.0,-87.0,-47.0,0.0
505,-15.0,-86.0,-87.0,-47.0,0.0
506,-15.0,-86.0,-87.0,-47.0,0.0
507,-15.0,-86.0,-87.0,-47.0,0.0
508,-15.0,-86.0,-87.0,-47.0,0.0
509,-15.0,-86.0,-87.0,-47.0,0.0
510,-15.0,-86.0,-87.0,-47.0,0.0
511,-15.0,-86.0,-87.0,-47.0,0.0
512,-15.0,-86.0,-87.0,-47.0,0.0
513,-15.0,-86.0,-87.0,-47.0,0.0
514,-15.0,-86.0,-87.0,-47.0,0.0
515,-15.0,-86.0,-87.0,-47.0,0.0
516,-15.0,-86.0,-87.0,-47.0,0.0
517,-15.0,-86.0,-87.0,-47.0,0.0
518,-15.0,-86.0,-87.0,-47.0,0.0
519,-15.0,-86.0,-87.0,-47.0,0.0
520,-15.0,-86.0,-87.0,-47.0,0.0
521,-15.0,-86.0,-87.0,-47.0,0.0
522,-15.0,-86.0,-87.0,-47.0,0.0
523,-15.0,-86.0,-87.0,-47.0,0.0
524,-15.0,-86.0,-87.0,-47.0,0.0
525,-15.0,-86.0,-87.0,-47.0,0.0
526,-15.0,-86.0,-87.0,-47.0,0.0
527,-15.0,-86.0,-87.0,-47.0,0.0
528,-15.0,-86.0,-87.0,-47.0,0.0
529,-15.0,-86.0,-87.0,-47.0,0.0
530,-15.0,-86.0,-87.0,-47.0,0.0
531,-15.0,-86.0,-87.0,-47.0,0.0
532,-15.0,-86.0,-87.0,-47.0,0.0
533,-15.0,-86.0,-87.0,-47.0,0.0
534,-15.0,-86.0,-87.0,-47.0,0.0
535,-15.0,-86.0,-87.0,-47.0,0.0
536,-15.0,-86.0,-87.0,-47.0,0.0
537,-15.0,-86.0,-87.0,-47.0,0.0
538,-15.0,-86.0,-87.0,-47.0,0.0
539,-15.0,-86.0,-87.0,-47.0,0.0
